sNR,SIF,SSRT,ROI,run1,run2,run3,run4,run5,run6,run7,run8,propslope
23,0.104166667,360.5882353,rVLPFC,1,0.102,0.9085,0.778,0.4935,0.28,1,0.1975,-0.04
24,-0.036210317,408.907563,rVLPFC,0,0.8645,0,0.8735,0.1235,0.527,0.9895,0,0.04
1,0.079861111,295.1300813,HC,0.998,0.039,0.9995,0,0.914,1,0.49,1,0.037986688
2,0.035897436,402.4227642,HC,0.886,0.9965,0.957,0,0.0185,0.823,0,0.9985,-0.061519134
3,0.159191176,367.9818182,HC,1,0.0025,0.9145,0,0,1,0.002,,-0.068339286
4,0.194444444,288.9256198,HC,0.958,0,1,0,0.123,0.014,0.022,0,-0.117196043
5,0.075,296.7226891,HC,0.005,0,1,0.999,0.2755,0.0365,1,0,3.216666667
6,-0.027777778,400.1621622,HC,0.9985,0.434,0.0355,1,0.949,0,0.4725,0,-0.082916041
7,-0.003508772,307.0630631,HC,0.68,0.9975,0.907,0.001,0.004,0.005,0.9095,0.9995,-0.015870098
8,-0.021428571,318.9047619,HC,0.006,0.08,1,0.9705,1,1,0.1725,0.037,1.406746032
9,-0.177083333,443.1415094,HC,1,0.0345,1,1,0.9975,0.007,0.9985,,-0.002214286
10,0.044444444,282.826087,HC,0.5605,0.244,0,0.7655,0.352,1,1,0.209,0.082961641
11,0.216666667,314.9083969,HC,0.9355,0.9995,0.5245,1,0.985,0.044,0.972,0.216,-0.084376829
12,0.15530303,371.76,HC,1,0.998,0,0.114,0.928,0,0.215,0.006,-0.11975
13,0.088888889,271.2377049,HC,0.013,0,1,0.473,0.0005,0.992,0.9885,1,10.39835165
14,-0.022321429,351.0661765,HC,0.123,0.43,0,1,1,0.1185,0.6965,0.999,0.756871854
15,0.195138889,296.6779661,HC,0,0,0,1,1,0.7255,0.0005,1,0.437095238
16,-0.027777778,341.4552846,HC,0.9455,0.003,0.0015,0.7975,1,0.398,0,0,-0.065995568
17,0.068421053,347,HC,1,1,0.838,0.1205,0.9945,0,0.0445,0.001,-0.15964881
18,0.029824561,353.7479675,HC,0.3085,0,0.5505,0.8845,1,0.383,1,0.156,0.136817936
19,-0.012820513,357.1908397,HC,0.999,0.1575,0.9975,0.0125,0,0.9145,0.0015,1,-0.012327804
20,-0.035714286,465.5614035,HC,0.4645,1,0.9815,0.9625,0.8675,0.215,0.991,0,-0.145855759
21,-0.003968254,384.1367521,HC,0,0.9665,0.995,0.978,0.9985,0.918,,,0.276047594
22,0.085227273,332.75,HC,0.9995,1,0.7555,0.0505,0.165,0,0,0.1015,-0.160056219
23,0.104166667,360.5882353,HC,0.96,0.024,0.008,0.015,0.238,0.938,0.008,0,-0.046961806
24,-0.036210317,408.907563,HC,0,0.004,0,0,1,0.3445,1,0.104,46.08035714
1,0.079861111,295.1300813,M1,0.838095238,0.99047619,1,0,0.342857143,0,1,0.533333333,-0.06737013
2,0.035897436,402.4227642,M1,0.016666667,0.016666667,0.975,0.491666667,0.825,0.341666667,0.975,0.25,3.470238095
3,0.159191176,367.9818182,M1,0.461538462,0,0.032967033,0.263736264,0.736263736,1,0.274725275,,0.165816327
4,0.194444444,288.9256198,M1,0.769230769,0.241758242,0,0.791208791,0.318681319,0,0,0.813186813,-0.021258503
5,0.075,296.7226891,M1,0.066176471,0.014705882,0.485294118,0.147058824,0.117647059,0.845588235,0.492647059,0.022058824,0.563492063
6,-0.027777778,400.1621622,M1,0.588235294,0.610294118,0,0.735294118,0.904411765,0.970588235,0.647058824,0.977941176,0.121279762
7,-0.003508772,307.0630631,M1,0.145864662,0.159398496,0,0,0.77593985,1,0.069924812,0.880451128,0.691335297
8,-0.021428571,318.9047619,M1,1,1,0.063157895,0.863157895,0.494736842,0,0.857894737,0.047368421,-0.094486216
9,-0.177083333,443.1415094,M1,0.961538462,0.064102564,0.448717949,0.153846154,0.602564103,0.294871795,0.5,,-0.028571429
10,0.044444444,282.826087,M1,0.933333333,0.99047619,0.980952381,0.419047619,1,0.80952381,0.066666667,0.133333333,-0.129494655
11,0.216666667,314.9083969,M1,0.039215686,0.947712418,0.745098039,0.490196078,0.875816993,0,0.215686275,0.176470588,-1.380952381
12,0.15530303,371.76,M1,0.939393939,0.954545455,0.909090909,0.560606061,0.818181818,0.015151515,0.015151515,0.045454545,-0.169546851
13,0.088888889,271.2377049,M1,0.573529412,0.125,1,1,0.948529412,0.161764706,0.764705882,0,-0.07020757
14,-0.022321429,351.0661765,M1,1,0.038095238,0.047619048,0.133333333,0.123809524,0.019047619,0.819047619,1,0.045351474
15,0.195138889,296.6779661,M1,0.08496732,1,0.14379085,0.745098039,0.039215686,0.08496732,0.973856209,0.222222222,-0.007326007
16,-0.027777778,341.4552846,M1,0.403508772,0.701754386,0.380116959,0.122807018,0.140350877,0.555555556,0,0.140350877,-0.141821946
17,0.068421053,347,M1,0.866666667,0,0.3,0,0.208333333,0.116666667,0.733333333,1,0.05849359
18,0.029824561,353.7479675,M1,0.980952381,0.028571429,0,0.571428571,0.542857143,0.828571429,0.238095238,0.561904762,0.006934813
19,-0.012820513,357.1908397,M1,0.967032967,0,0.340659341,0.318681319,0,0.098901099,0.813186813,0,-0.046130952
20,-0.035714286,465.5614035,M1,0.1,0.808333333,0.141666667,0.233333333,0.1,0.766666667,0.975,0.591666667,0.716269841
21,-0.003968254,384.1367521,M1,0.733333333,0.952380952,0.20952381,0.980952381,0.057142857,1,,,-0.022634508
22,0.085227273,332.75,M1,0.027819549,0.892481203,0.99924812,0.636842105,0.00075188,0,0,0,-3.547940798
23,0.104166667,360.5882353,M1,0.987218045,0.001503759,0.917293233,0.34887218,0.034586466,0,0.971428571,0.996992481,0.022331629
24,-0.036210317,408.907563,M1,0.238095238,0.676190476,0.161904762,0.971428571,0.838095238,0.180952381,0.723809524,0.295238095,0.028095238
