rDLPFC,d_general,58,38,42,62
rVLPFC,d_general,60,38,40,62
rHC,d_general,49,51,51,49
lM1,d_general,48,52,52,48
rDLPFC,d_specific,68,28,32,72
rVLPFC,d_specific,81,17,19,83
rHC,d_specific,62,35,38,65
lM1,d_specific,67,36,33,64
