sid,roi,condition,0s,2s,4s,6s,8s,10s
T_524,rHC,s,-0.007144806,0.075667416,-0.047823311,-0.114038091,-0.015179265,-0.031271387
T_549,rHC,s,-0.001697501,-0.038111394,-0.177768643,-0.233112822,-0.225339765,-0.139089736
T_550,rHC,s,0.018948618,-0.010914517,-0.066586395,-0.056543113,-0.137141707,0.055448698
T_554,rHC,s,-0.170872138,-0.14755056,-0.006938876,-0.018955798,0.177292605,0.233407611
T_556,rHC,s,0.025784268,0.016632661,-0.035651126,-0.114578163,-0.081715269,0.126651926
T_593,rHC,s,-0.087329006,-0.02753641,-0.248898075,-0.128862554,-0.134772559,-0.070675737
T_595,rHC,s,0.017463092,0.158973692,0.018544651,-0.086858771,0.077106988,0.197554868
T_603,rHC,s,-0.078211374,0.113669218,0.032119111,0.018878819,-0.084197497,0.09843556
T_614,rHC,s,0.007863047,-0.083841104,-0.05303804,-0.007843217,0.039542346,0.017672923
T_624,rHC,s,-0.070183813,0.010234728,-0.078894079,-0.07717755,-0.098595098,-0.10133766
T_629,rHC,s,-0.064852061,-0.069250866,-0.044641255,-0.040253634,-0.164337555,-0.141607271
T_642,rHC,s,-0.013328482,-0.077165112,-0.072412888,-0.022358736,0.037368497,-0.034962634
T_647,rHC,s,-0.092333168,-0.206572207,-0.151593501,-0.109644158,-0.101570722,-0.080418598
T_652,rHC,s,0.015020114,-0.042181512,0.021311225,-0.073560158,-0.134819318,0.05490239
T_662,rHC,s,-0.0985013,-0.064037941,-0.116417041,-0.142014447,0.112858982,0.206991686
T_663,rHC,s,-0.021178202,0.003995911,-0.061058256,-0.036197805,0.011545512,-0.025777857
T_665,rHC,s,-0.069834531,-0.053176623,-0.036996991,-0.107588703,-0.061404771,-0.003482924
T_475,rHC,g,-0.022422161,-0.082774579,-0.125851266,-0.023728208,0.1224812,0.107128525
T_488,rHC,g,0.005308933,-0.12839352,-0.094700283,-0.023689254,0.002034685,-0.053668539
T_490,rHC,g,0.026711005,-0.054553537,-0.098092006,-0.097926327,-0.042697759,-0.014373298
T_491,rHC,g,-0.004278157,-0.047513991,-0.095576842,-0.013815206,0.037493833,0.036048874
T_495,rHC,g,-0.078092879,-0.043719834,-0.02975841,0.122164819,0.121100333,0.166578054
T_507,rHC,g,-0.014823125,-0.045562891,-0.090274144,-0.046181129,-0.000302885,-0.047097096
T_513,rHC,g,-0.126591427,-0.098023762,-0.075237414,-0.085332118,0.001451155,0.005828092
T_524,rHC,g,0.038658231,-0.027979341,-0.000601558,-0.011533572,0.042921739,-0.002931014
T_549,rHC,g,-0.032230993,-0.071357882,-0.077885884,-0.052150212,-0.049947048,-0.008036674
T_550,rHC,g,0.013789592,-0.053652622,-0.040265782,-0.013512261,-0.014435459,-0.046695002
T_554,rHC,g,-0.11873711,-0.155811711,0.003597082,0.162264475,0.142377726,0.053062937
T_556,rHC,g,-0.051681988,-0.060383983,-0.013168674,-0.028975202,0.02953379,-0.042724086
T_593,rHC,g,0.004042123,-0.063750313,-0.004006132,-0.052603781,-0.012847291,0.000791496
T_595,rHC,g,-0.03667742,-0.122322229,-0.043783553,0.010518569,-0.001438199,-0.01825309
T_603,rHC,g,-0.025143478,-0.075660532,-0.073571202,0.001840351,0.055555789,0.056226667
T_614,rHC,g,0.009207799,-0.026869482,-0.008672033,0.001864655,0.045904954,0.070623432
T_624,rHC,g,0.022766032,-0.0388292,-0.040028661,0.003452069,-0.051146789,-0.00134596
T_629,rHC,g,-0.010935498,-0.052789221,-0.123332496,-0.05400492,0.017641834,-0.027972464
T_642,rHC,g,-0.034465324,-0.009225281,-0.039117832,-0.016314663,-0.014615838,-0.013903552
T_647,rHC,g,-0.02887928,-0.073243388,-0.06937529,-0.020206764,0.009358928,-0.024186489
T_652,rHC,g,0.009772153,-0.066772358,-0.060729921,-0.01024949,0.015995606,0.031598558
T_662,rHC,g,-0.074209522,-0.057485288,-0.145467015,-0.03996149,0.040494594,-0.04550601
T_663,rHC,g,-0.052334865,-0.068101902,-0.012769154,-0.006797821,0.007808018,0.03262949
T_665,rHC,g,0.015035118,-0.0353022,-0.04993948,-0.004607385,0.001368666,-0.027727273
T_475,lM1,nt,-0.070309463,-0.100117822,-0.218383197,-0.176593257,0.082097683,0.246568713
T_488,lM1,nt,-0.024034381,-0.04065323,0.082610033,0.074625756,0.07914192,0.131742683
T_490,lM1,nt,0.042113856,0.006591732,0.085337473,0.120027143,0.036697768,0.020725996
T_491,lM1,nt,-0.055375627,-0.054771085,-0.007750375,-0.00606336,0.022081946,0.0793789
T_495,lM1,nt,-0.099469299,-0.155134406,-0.16547955,-0.028969497,0.001779714,0.149003059
T_507,lM1,nt,-0.042617679,-0.029778223,0.03755221,0.131415343,0.136715414,0.121470008
T_513,lM1,nt,0.040720388,0.057490663,0.034536759,0.03734953,-0.009923962,0.012808154
T_524,lM1,nt,-0.048506542,-0.003383209,0.045593908,0.063290417,0.026552607,0.087218125
