sid,type,roi,acc
18,d_general,rBG,0.41096875
19,d_general,rBG,0.468375
20,d_general,rBG,0.5295625
21,d_general,rBG,0.522041667
22,d_general,rBG,0.53684375
23,d_general,rBG,0.35175
24,d_general,rBG,0.48565625
1,d_general,lIPL,0.63603125
2,d_general,lIPL,0.2735625
3,d_general,lIPL,0.542428571
4,d_general,lIPL,0.44934375
5,d_general,lIPL,0.523875
6,d_general,lIPL,0.7024375
7,d_general,lIPL,0.69496875
8,d_general,lIPL,0.43309375
9,d_general,lIPL,0.806571429
10,d_general,lIPL,0.42803125
11,d_general,lIPL,0.62603125
12,d_general,lIPL,0.616625
13,d_general,lIPL,0.557375
14,d_general,lIPL,0.58359375
15,d_general,lIPL,0.66178125
16,d_general,lIPL,0.515625
17,d_general,lIPL,0.797625
18,d_general,lIPL,0.49184375
19,d_general,lIPL,0.5715625
20,d_general,lIPL,0.63853125
21,d_general,lIPL,0.64775
22,d_general,lIPL,0.5203125
23,d_general,lIPL,0.743125
24,d_general,lIPL,0.455125
1,d_general,rPreCentr,0.5470625
2,d_general,rPreCentr,0.563875
3,d_general,rPreCentr,0.413107143
4,d_general,rPreCentr,0.4206875
5,d_general,rPreCentr,0.58071875
6,d_general,rPreCentr,0.48353125
7,d_general,rPreCentr,0.66421875
8,d_general,rPreCentr,0.545125
9,d_general,rPreCentr,0.477
10,d_general,rPreCentr,0.61225
11,d_general,rPreCentr,0.75075
12,d_general,rPreCentr,0.39096875
13,d_general,rPreCentr,0.54775
14,d_general,rPreCentr,0.2961875
15,d_general,rPreCentr,0.7495
16,d_general,rPreCentr,0.56746875
17,d_general,rPreCentr,0.44840625
18,d_general,rPreCentr,0.54921875
19,d_general,rPreCentr,0.6930625
20,d_general,rPreCentr,0.57553125
21,d_general,rPreCentr,0.341333333
22,d_general,rPreCentr,0.59903125
23,d_general,rPreCentr,0.55403125
24,d_general,rPreCentr,0.72725
1,d_general,rSPL,0.74034375
2,d_general,rSPL,0.37890625
3,d_general,rSPL,0.378107143
4,d_general,rSPL,0.34475
5,d_general,rSPL,0.5478125
6,d_general,rSPL,0.35640625
7,d_general,rSPL,0.60125
8,d_general,rSPL,0.5055
9,d_general,rSPL,0.500928571
10,d_general,rSPL,0.53778125
11,d_general,rSPL,0.8375625
12,d_general,rSPL,0.48165625
13,d_general,rSPL,0.61278125
14,d_general,rSPL,0.387875
15,d_general,rSPL,0.6565625
16,d_general,rSPL,0.55646875
17,d_general,rSPL,0.30021875
18,d_general,rSPL,0.32228125
19,d_general,rSPL,0.6776875
20,d_general,rSPL,0.5945
21,d_general,rSPL,0.396
22,d_general,rSPL,0.65803125
23,d_general,rSPL,0.5255625
24,d_general,rSPL,0.285875
1,d_specific,rdlpfc,0.493303571
2,d_specific,rdlpfc,0.835625
3,d_specific,rdlpfc,0.851678571
4,d_specific,rdlpfc,0.6105625
5,d_specific,rdlpfc,0.599431818
6,d_specific,rdlpfc,0.500459559
7,d_specific,rdlpfc,0.74096875
8,d_specific,rdlpfc,0.583039243
9,d_specific,rdlpfc,0.814892857
10,d_specific,rdlpfc,0.794
11,d_specific,rdlpfc,0.741517857
12,d_specific,rdlpfc,0.6328125
13,d_specific,rdlpfc,0.78571875
14,d_specific,rdlpfc,0.637734962
15,d_specific,rdlpfc,0.76034375
16,d_specific,rdlpfc,0.445125
17,d_specific,rdlpfc,0.8501875
18,d_specific,rdlpfc,0.917857143
19,d_specific,rdlpfc,0.584099265
20,d_specific,rdlpfc,0.696314103
21,d_specific,rdlpfc,0.779791667
22,d_specific,rdlpfc,0.677272727
23,d_specific,rdlpfc,0.567
24,d_specific,rdlpfc,0.86465625
1,d_specific,rvlpfc,0.92515625
2,d_specific,rvlpfc,0.92971875
3,d_specific,rvlpfc,0.754571429
4,d_specific,rvlpfc,0.98465625
5,d_specific,rvlpfc,0.52984375
6,d_specific,rvlpfc,0.88846875
7,d_specific,rvlpfc,0.83421875
8,d_specific,rvlpfc,0.74215625
9,d_specific,rvlpfc,0.643357143
10,d_specific,rvlpfc,0.823625
11,d_specific,rvlpfc,0.731625
12,d_specific,rvlpfc,0.698684211
13,d_specific,rvlpfc,0.84428125
14,d_specific,rvlpfc,0.9453125
15,d_specific,rvlpfc,0.83784375
16,d_specific,rvlpfc,0.84615625
17,d_specific,rvlpfc,0.99665625
18,d_specific,rvlpfc,0.7233125
19,d_specific,rvlpfc,0.75728125
20,d_specific,rvlpfc,0.8578125
21,d_specific,rvlpfc,1
22,d_specific,rvlpfc,0.85690625
23,d_specific,rvlpfc,0.81775
24,d_specific,rvlpfc,0.80446875
1,d_specific,SMA,0.8135
2,d_specific,SMA,0.95009375
3,d_specific,SMA,0.891285714
4,d_specific,SMA,0.9486875
5,d_specific,SMA,0.62265625
6,d_specific,SMA,0.80053125
7,d_specific,SMA,0.74965625
8,d_specific,SMA,0.8851875
9,d_specific,SMA,0.894464286
10,d_specific,SMA,0.9356875
11,d_specific,SMA,0.84684375
12,d_specific,SMA,0.72025
13,d_specific,SMA,0.910125
14,d_specific,SMA,0.841625
15,d_specific,SMA,0.8295
16,d_specific,SMA,0.627875
17,d_specific,SMA,0.95190625
18,d_specific,SMA,0.7435
19,d_specific,SMA,0.90175
20,d_specific,SMA,0.69159375
21,d_specific,SMA,0.933666667
22,d_specific,SMA,0.7013125
23,d_specific,SMA,0.91378125
24,d_specific,SMA,0.9493125
1,d_specific,lVLPFC,0.87521875
2,d_specific,lVLPFC,0.93321875
3,d_specific,lVLPFC,0.861071429
4,d_specific,lVLPFC,0.96990625
5,d_specific,lVLPFC,0.76153125
6,d_specific,lVLPFC,0.8641875
7,d_specific,lVLPFC,0.775125
8,d_specific,lVLPFC,0.77034375
9,d_specific,lVLPFC,0.75475
10,d_specific,lVLPFC,0.88046875
11,d_specific,lVLPFC,0.7461875
12,d_specific,lVLPFC,0.65565625
13,d_specific,lVLPFC,0.9191875
14,d_specific,lVLPFC,0.8376875
15,d_specific,lVLPFC,0.79753125
16,d_specific,lVLPFC,0.6511875
17,d_specific,lVLPFC,0.9045
18,d_specific,lVLPFC,0.69375
19,d_specific,lVLPFC,0.82365625
20,d_specific,lVLPFC,0.59128125
21,d_specific,lVLPFC,0.922375
22,d_specific,lVLPFC,0.6606875
23,d_specific,lVLPFC,0.8324375
24,d_specific,lVLPFC,0.91290625
1,d_specific,rIPL,0.8024375
2,d_specific,rIPL,0.924375
3,d_specific,rIPL,0.904071429
4,d_specific,rIPL,0.960875
5,d_specific,rIPL,0.657
6,d_specific,rIPL,0.826
7,d_specific,rIPL,0.75725
8,d_specific,rIPL,0.91478125
9,d_specific,rIPL,0.888928571
10,d_specific,rIPL,0.93465625
11,d_specific,rIPL,0.70909375
12,d_specific,rIPL,0.7375
13,d_specific,rIPL,0.96765625
14,d_specific,rIPL,0.9131875
15,d_specific,rIPL,0.9210625
16,d_specific,rIPL,0.593625
17,d_specific,rIPL,0.907625
18,d_specific,rIPL,0.73321875
19,d_specific,rIPL,0.84165625
20,d_specific,rIPL,0.68409375
21,d_specific,rIPL,0.966416667
22,d_specific,rIPL,0.5896875
23,d_specific,rIPL,0.92840625
24,d_specific,rIPL,0.93778125
1,d_specific,ACC,0.8860625
2,d_specific,ACC,0.9496875
3,d_specific,ACC,0.980571429
4,d_specific,ACC,0.95584375
5,d_specific,ACC,0.6083125
6,d_specific,ACC,0.74153125
7,d_specific,ACC,0.77503125
8,d_specific,ACC,0.8510625
9,d_specific,ACC,0.914821429
10,d_specific,ACC,0.8345625
11,d_specific,ACC,0.80790625
12,d_specific,ACC,0.734125
13,d_specific,ACC,0.92953125
14,d_specific,ACC,0.892125
15,d_specific,ACC,0.794
16,d_specific,ACC,0.67021875
17,d_specific,ACC,0.92309375
18,d_specific,ACC,0.64375
19,d_specific,ACC,0.9158125
20,d_specific,ACC,0.633875
21,d_specific,ACC,0.951916667
22,d_specific,ACC,0.6380625
23,d_specific,ACC,0.894875
24,d_specific,ACC,0.91940625
1,d_specific,rBG,0.62796875
2,d_specific,rBG,0.7251875
3,d_specific,rBG,0.814928571
4,d_specific,rBG,0.78696875
5,d_specific,rBG,0.6073125
6,d_specific,rBG,0.6955625
7,d_specific,rBG,0.68609375
8,d_specific,rBG,0.82225
9,d_specific,rBG,0.691964286
10,d_specific,rBG,0.8
11,d_specific,rBG,0.8675625
12,d_specific,rBG,0.7004375
13,d_specific,rBG,0.8803125
14,d_specific,rBG,0.66546875
15,d_specific,rBG,0.72775
16,d_specific,rBG,0.58021875
17,d_specific,rBG,0.85353125
18,d_specific,rBG,0.69784375
19,d_specific,rBG,0.7626875
20,d_specific,rBG,0.48040625
21,d_specific,rBG,0.902208333
22,d_specific,rBG,0.63203125
23,d_specific,rBG,0.84628125
24,d_specific,rBG,0.7704375
1,d_specific,lIPL,0.857625
2,d_specific,lIPL,0.9198125
3,d_specific,lIPL,0.820035714
4,d_specific,lIPL,0.9899375
5,d_specific,lIPL,0.6261875
6,d_specific,lIPL,0.811875
7,d_specific,lIPL,0.69946875
8,d_specific,lIPL,0.86865625
9,d_specific,lIPL,0.766714286
10,d_specific,lIPL,0.98453125
11,d_specific,lIPL,0.7920625
12,d_specific,lIPL,0.5303125
13,d_specific,lIPL,0.909875
14,d_specific,lIPL,0.84634375
15,d_specific,lIPL,0.89315625
16,d_specific,lIPL,0.60178125
17,d_specific,lIPL,0.86153125
18,d_specific,lIPL,0.6628125
19,d_specific,lIPL,0.79428125
20,d_specific,lIPL,0.5895625
21,d_specific,lIPL,0.959708333
22,d_specific,lIPL,0.6069375
23,d_specific,lIPL,0.75178125
24,d_specific,lIPL,0.8908125
1,d_specific,rPreCentr,0.84484375
2,d_specific,rPreCentr,0.87875
3,d_specific,rPreCentr,0.941535714
4,d_specific,rPreCentr,0.98428125
5,d_specific,rPreCentr,0.57953125
6,d_specific,rPreCentr,0.84378125
7,d_specific,rPreCentr,0.759625
8,d_specific,rPreCentr,0.90965625
9,d_specific,rPreCentr,0.950785714
10,d_specific,rPreCentr,0.98621875
11,d_specific,rPreCentr,0.7621875
12,d_specific,rPreCentr,0.7615
13,d_specific,rPreCentr,0.96453125
14,d_specific,rPreCentr,0.95246875
15,d_specific,rPreCentr,0.89584375
16,d_specific,rPreCentr,0.7629375
17,d_specific,rPreCentr,0.80178125
18,d_specific,rPreCentr,0.6764375
19,d_specific,rPreCentr,0.90228125
20,d_specific,rPreCentr,0.69975
21,d_specific,rPreCentr,0.953708333
22,d_specific,rPreCentr,0.76059375
23,d_specific,rPreCentr,0.98403125
24,d_specific,rPreCentr,0.87271875
1,d_specific,rSPL,0.8923125
2,d_specific,rSPL,0.87934375
3,d_specific,rSPL,0.891321429
4,d_specific,rSPL,0.93478125
5,d_specific,rSPL,0.64009375
6,d_specific,rSPL,0.8145625
7,d_specific,rSPL,0.78753125
8,d_specific,rSPL,0.87325
9,d_specific,rSPL,0.931107143
10,d_specific,rSPL,0.9035
11,d_specific,rSPL,0.76809375
12,d_specific,rSPL,0.74134375
13,d_specific,rSPL,0.96646875
14,d_specific,rSPL,0.88134375
15,d_specific,rSPL,0.87540625
16,d_specific,rSPL,0.58175
17,d_specific,rSPL,0.7790625
18,d_specific,rSPL,0.66115625
19,d_specific,rSPL,0.82415625
20,d_specific,rSPL,0.60721875
21,d_specific,rSPL,0.984583333
22,d_specific,rSPL,0.62184375
23,d_specific,rSPL,0.8570625
24,d_specific,rSPL,0.94871875
1,ntnt,rdlpfc,0.825243506
2,ntnt,rdlpfc,0.68575
3,ntnt,rdlpfc,0.7135
4,ntnt,rdlpfc,0.7458125
5,ntnt,rdlpfc,0.643939394
6,ntnt,rdlpfc,0.568014706
7,ntnt,rdlpfc,0.75525
8,ntnt,rdlpfc,0.749294184
9,ntnt,rdlpfc,0.764214286
10,ntnt,rdlpfc,0.9931875
11,ntnt,rdlpfc,0.588717532
12,ntnt,rdlpfc,0.560661765
13,ntnt,rdlpfc,0.6685
14,ntnt,rdlpfc,0.673120301
15,ntnt,rdlpfc,0.5468125
16,ntnt,rdlpfc,0.8460625
17,ntnt,rdlpfc,0.6924375
18,ntnt,rdlpfc,0.539285714
19,ntnt,rdlpfc,0.603860294
20,ntnt,rdlpfc,0.59775641
21,ntnt,rdlpfc,0.999833333
22,ntnt,rdlpfc,0.6
23,ntnt,rdlpfc,0.7074375
24,ntnt,rdlpfc,0.7295625
1,ntnt,rvlpfc,0.6175
2,ntnt,rvlpfc,0.6826875
3,ntnt,rvlpfc,0.7265
4,ntnt,rvlpfc,0.962875
5,ntnt,rvlpfc,0.9779375
6,ntnt,rvlpfc,0.625625
7,ntnt,rvlpfc,0.4935
8,ntnt,rvlpfc,0.703375
9,ntnt,rvlpfc,0.633928571
10,ntnt,rvlpfc,1
11,ntnt,rvlpfc,0.52675
12,ntnt,rvlpfc,0.340789474
13,ntnt,rvlpfc,0.7044375
14,ntnt,rvlpfc,0.7744375
15,ntnt,rvlpfc,0.60025
16,ntnt,rvlpfc,0.8046875
17,ntnt,rvlpfc,0.992125
18,ntnt,rvlpfc,0.728625
19,ntnt,rvlpfc,0.48525
20,ntnt,rvlpfc,0.755625
21,ntnt,rvlpfc,0.999833333
22,ntnt,rvlpfc,0.5030625
23,ntnt,rvlpfc,0.986
24,ntnt,rvlpfc,0.70625
1,ntnt,SMA,0.751625
2,ntnt,SMA,0.7945625
3,ntnt,SMA,0.761892857
4,ntnt,SMA,0.81878125
5,ntnt,SMA,0.70503125
6,ntnt,SMA,0.689625
7,ntnt,SMA,0.6615625
8,ntnt,SMA,0.8321875
9,ntnt,SMA,0.712964286
10,ntnt,SMA,0.92065625
11,ntnt,SMA,0.8164375
12,ntnt,SMA,0.483125
13,ntnt,SMA,0.568
14,ntnt,SMA,0.67753125
15,ntnt,SMA,0.64578125
16,ntnt,SMA,0.54503125
17,ntnt,SMA,0.8169375
18,ntnt,SMA,0.6070625
19,ntnt,SMA,0.6875625
20,ntnt,SMA,0.5908125
21,ntnt,SMA,0.859041667
22,ntnt,SMA,0.6049375
23,ntnt,SMA,0.98034375
24,ntnt,SMA,0.8505625
1,ntnt,lVLPFC,0.794125
2,ntnt,lVLPFC,0.64834375
3,ntnt,lVLPFC,0.698357143
4,ntnt,lVLPFC,0.77471875
5,ntnt,lVLPFC,0.57859375
6,ntnt,lVLPFC,0.72103125
7,ntnt,lVLPFC,0.58928125
8,ntnt,lVLPFC,0.7158125
9,ntnt,lVLPFC,0.658285714
10,ntnt,lVLPFC,0.93659375
11,ntnt,lVLPFC,0.69425
12,ntnt,lVLPFC,0.50315625
13,ntnt,lVLPFC,0.6270625
14,ntnt,lVLPFC,0.651125
15,ntnt,lVLPFC,0.64628125
16,ntnt,lVLPFC,0.6390625
17,ntnt,lVLPFC,0.92015625
18,ntnt,lVLPFC,0.542125
19,ntnt,lVLPFC,0.62078125
20,ntnt,lVLPFC,0.5744375
21,ntnt,lVLPFC,0.838875
22,ntnt,lVLPFC,0.61796875
23,ntnt,lVLPFC,0.92790625
24,ntnt,lVLPFC,0.77928125
1,ntnt,rIPL,0.7284375
2,ntnt,rIPL,0.80253125
3,ntnt,rIPL,0.778428571
4,ntnt,rIPL,0.85865625
5,ntnt,rIPL,0.69059375
6,ntnt,rIPL,0.63921875
7,ntnt,rIPL,0.71021875
8,ntnt,rIPL,0.76865625
9,ntnt,rIPL,0.720107143
10,ntnt,rIPL,0.90428125
11,ntnt,rIPL,0.5323125
12,ntnt,rIPL,0.54796875
13,ntnt,rIPL,0.483875
14,ntnt,rIPL,0.706
15,ntnt,rIPL,0.6891875
16,ntnt,rIPL,0.52478125
17,ntnt,rIPL,0.79475
18,ntnt,rIPL,0.56646875
19,ntnt,rIPL,0.6811875
20,ntnt,rIPL,0.62396875
21,ntnt,rIPL,0.901833333
22,ntnt,rIPL,0.4763125
23,ntnt,rIPL,0.8446875
24,ntnt,rIPL,0.88125
1,ntnt,ACC,0.77178125
2,ntnt,ACC,0.8203125
3,ntnt,ACC,0.819071429
4,ntnt,ACC,0.8139375
5,ntnt,ACC,0.67978125
6,ntnt,ACC,0.6815625
7,ntnt,ACC,0.573
8,ntnt,ACC,0.74375
9,ntnt,ACC,0.7645
10,ntnt,ACC,0.92265625
11,ntnt,ACC,0.8006875
12,ntnt,ACC,0.53475
13,ntnt,ACC,0.6175625
14,ntnt,ACC,0.67478125
15,ntnt,ACC,0.69496875
16,ntnt,ACC,0.60840625
17,ntnt,ACC,0.913125
18,ntnt,ACC,0.6054375
19,ntnt,ACC,0.7354375
20,ntnt,ACC,0.6183125
21,ntnt,ACC,0.830625
22,ntnt,ACC,0.5335625
23,ntnt,ACC,0.9949375
24,ntnt,ACC,0.81778125
1,ntnt,rBG,0.69534375
2,ntnt,rBG,0.63465625
3,ntnt,rBG,0.656107143
4,ntnt,rBG,0.67275
5,ntnt,rBG,0.53509375
6,ntnt,rBG,0.58415625
7,ntnt,rBG,0.63584375
8,ntnt,rBG,0.79115625
9,ntnt,rBG,0.624607143
10,ntnt,rBG,0.86640625
11,ntnt,rBG,0.60203125
12,ntnt,rBG,0.55084375
13,ntnt,rBG,0.688875
14,ntnt,rBG,0.56028125
15,ntnt,rBG,0.5624375
16,ntnt,rBG,0.55871875
17,ntnt,rBG,0.74309375
18,ntnt,rBG,0.5663125
19,ntnt,rBG,0.573375
20,ntnt,rBG,0.6120625
21,ntnt,rBG,0.649541667
22,ntnt,rBG,0.612875
23,ntnt,rBG,0.84190625
24,ntnt,rBG,0.81925
1,ntnt,lIPL,0.78034375
2,ntnt,lIPL,0.8495
3,ntnt,lIPL,0.853107143
4,ntnt,lIPL,0.76325
5,ntnt,lIPL,0.62009375
6,ntnt,lIPL,0.77025
7,ntnt,lIPL,0.7321875
8,ntnt,lIPL,0.7974375
9,ntnt,lIPL,0.740607143
10,ntnt,lIPL,0.90334375
11,ntnt,lIPL,0.628375
12,ntnt,lIPL,0.61621875
13,ntnt,lIPL,0.5139375
14,ntnt,lIPL,0.61903125
15,ntnt,lIPL,0.69390625
16,ntnt,lIPL,0.54709375
17,ntnt,lIPL,0.890375
18,ntnt,lIPL,0.552
19,ntnt,lIPL,0.65946875
20,ntnt,lIPL,0.690375
21,ntnt,lIPL,0.891541667
22,ntnt,lIPL,0.6051875
23,ntnt,lIPL,0.89525
24,ntnt,lIPL,0.82390625
1,ntnt,rPreCentr,0.79446875
2,ntnt,rPreCentr,0.878375
3,ntnt,rPreCentr,0.599892857
4,ntnt,rPreCentr,0.844125
5,ntnt,rPreCentr,0.73521875
6,ntnt,rPreCentr,0.5946875
7,ntnt,rPreCentr,0.80359375
8,ntnt,rPreCentr,0.778125
9,ntnt,rPreCentr,0.766035714
10,ntnt,rPreCentr,0.94640625
11,ntnt,rPreCentr,0.6690625
12,ntnt,rPreCentr,0.57128125
13,ntnt,rPreCentr,0.564375
14,ntnt,rPreCentr,0.65940625
15,ntnt,rPreCentr,0.57440625
16,ntnt,rPreCentr,0.62934375
17,ntnt,rPreCentr,0.76603125
18,ntnt,rPreCentr,0.54975
19,ntnt,rPreCentr,0.5715625
20,ntnt,rPreCentr,0.594875
21,ntnt,rPreCentr,0.808833333
22,ntnt,rPreCentr,0.572625
23,ntnt,rPreCentr,0.9271875
24,ntnt,rPreCentr,0.90075
1,ntnt,rSPL,0.76765625
2,ntnt,rSPL,0.83596875
3,ntnt,rSPL,0.723285714
4,ntnt,rSPL,0.74759375
5,ntnt,rSPL,0.68375
6,ntnt,rSPL,0.6931875
7,ntnt,rSPL,0.75490625
8,ntnt,rSPL,0.69453125
9,ntnt,rSPL,0.769392857
10,ntnt,rSPL,0.96415625
11,ntnt,rSPL,0.63884375
12,ntnt,rSPL,0.58815625
13,ntnt,rSPL,0.53575
14,ntnt,rSPL,0.6254375
15,ntnt,rSPL,0.75528125
16,ntnt,rSPL,0.61509375
17,ntnt,rSPL,0.76259375
18,ntnt,rSPL,0.5663125
19,ntnt,rSPL,0.61903125
20,ntnt,rSPL,0.51528125
21,ntnt,rSPL,0.915166667
22,ntnt,rSPL,0.55015625
23,ntnt,rSPL,0.8305
24,ntnt,rSPL,0.91196875
1,ss,rdlpfc,0.841152597
2,ss,rdlpfc,0.449625
3,ss,rdlpfc,0.729357143
4,ss,rdlpfc,0.5103125
5,ss,rdlpfc,0.365530303
6,ss,rdlpfc,0.605698529
7,ss,rdlpfc,0.512125
8,ss,rdlpfc,0.761293055
9,ss,rdlpfc,0.336285714
10,ss,rdlpfc,0.53975
11,ss,rdlpfc,0.540422078
12,ss,rdlpfc,0.451286765
13,ss,rdlpfc,0.8984375
14,ss,rdlpfc,0.476879699
15,ss,rdlpfc,0.725375
16,ss,rdlpfc,0.6470625
17,ss,rdlpfc,0.8410625
18,ss,rdlpfc,0.55952381
19,ss,rdlpfc,0.560661765
20,ss,rdlpfc,0.602564103
21,ss,rdlpfc,0.596666667
22,ss,rdlpfc,0.465909091
23,ss,rdlpfc,0.6015625
24,ss,rdlpfc,0.4408125
1,ss,rvlpfc,0.5013125
2,ss,rvlpfc,0.5030625
3,ss,rvlpfc,0.707714286
4,ss,rvlpfc,0.5324375
5,ss,rvlpfc,0.5474375
6,ss,rvlpfc,0.708
7,ss,rvlpfc,0.5761875
8,ss,rvlpfc,0.969375
9,ss,rvlpfc,0.480071429
10,ss,rvlpfc,0.4249375
11,ss,rvlpfc,0.82375
12,ss,rvlpfc,0.588157895
13,ss,rvlpfc,0.745125
14,ss,rvlpfc,0.5395
15,ss,rvlpfc,0.699875
16,ss,rvlpfc,0.7415
17,ss,rvlpfc,0.6821875
18,ss,rvlpfc,0.52875
19,ss,rvlpfc,0.39775
20,ss,rvlpfc,0.9855625
21,ss,rvlpfc,0.861666667
22,ss,rvlpfc,0.7940625
23,ss,rvlpfc,0.6850625
24,ss,rvlpfc,0.5555
1,ss,SMA,0.62690625
2,ss,SMA,0.796125
3,ss,SMA,0.780535714
4,ss,SMA,0.695625
5,ss,SMA,0.699125
6,ss,SMA,0.71590625
7,ss,SMA,0.5948125
8,ss,SMA,0.82790625
9,ss,SMA,0.806821429
10,ss,SMA,0.86721875
11,ss,SMA,0.59215625
12,ss,SMA,0.59946875
13,ss,SMA,0.7963125
14,ss,SMA,0.78540625
15,ss,SMA,0.76615625
16,ss,SMA,0.67509375
