sid,type,roi,acc
7,ss,rHC,0.2804375
8,ss,rHC,0.811
9,ss,rHC,0.763642857
10,ss,rHC,0.39675
11,ss,rHC,0.69975
12,ss,rHC,0.4935
13,ss,rHC,0.5790625
14,ss,rHC,0.2251875
15,ss,rHC,0.5596875
16,ss,rHC,0.5920625
17,ss,rHC,0.82675
18,ss,rHC,0.4420625
19,ss,rHC,0.8255625
20,ss,rHC,0.50325
21,ss,rHC,0.806666667
22,ss,rHC,0.4933125
23,ss,rHC,0.3871875
24,ss,rHC,0.658125
1,ss,lM1,0.792857143
2,ss,lM1,0.782291667
3,ss,lM1,0.80533752
4,ss,lM1,0.614010989
5,ss,lM1,0.738970588
6,ss,lM1,0.526654412
7,ss,lM1,0.455451128
8,ss,lM1,0.805263158
9,ss,lM1,0.802197802
10,ss,lM1,0.851190476
11,ss,lM1,0.293300654
12,ss,lM1,0.721590909
13,ss,lM1,1
14,ss,lM1,0.75
15,ss,lM1,0.705882353
16,ss,lM1,0.796783626
17,ss,lM1,0.894791667
18,ss,lM1,0.586904762
19,ss,lM1,0.675824176
20,ss,lM1,0.711458333
21,ss,lM1,0.904761905
22,ss,lM1,0.742951128
23,ss,lM1,0.82556391
24,ss,lM1,0.796428571
1,ntnt,rdlpfc,0.948830409
2,ntnt,rdlpfc,0.86575
3,ntnt,rdlpfc,0.759642857
4,ntnt,rdlpfc,0.871329757
5,ntnt,rdlpfc,0.60175
6,ntnt,rdlpfc,0.429707792
7,ntnt,rdlpfc,0.7970625
8,ntnt,rdlpfc,0.832467532
9,ntnt,rdlpfc,0.698394773
10,ntnt,rdlpfc,1
11,ntnt,rdlpfc,0.759375
12,ntnt,rdlpfc,0.745394737
13,ntnt,rdlpfc,0.62525
14,ntnt,rdlpfc,0.753811406
15,ntnt,rdlpfc,0.45211039
16,ntnt,rdlpfc,0.86
17,ntnt,rdlpfc,0.99375
18,ntnt,rdlpfc,0.590132693
19,ntnt,rdlpfc,0.85075188
20,ntnt,rdlpfc,0.5885625
21,ntnt,rdlpfc,0.994444444
22,ntnt,rdlpfc,0.734334416
23,ntnt,rdlpfc,0.997875
24,ntnt,rdlpfc,0.880125
1,ntnt,rvlpfc,0.9995625
2,ntnt,rvlpfc,0.9165
3,ntnt,rvlpfc,0.857785714
4,ntnt,rvlpfc,0.8755
5,ntnt,rvlpfc,0.999875
6,ntnt,rvlpfc,0.5845625
7,ntnt,rvlpfc,0.6401875
8,ntnt,rvlpfc,0.8979375
9,ntnt,rvlpfc,0.968071429
10,ntnt,rvlpfc,1
11,ntnt,rvlpfc,0.572375
12,ntnt,rvlpfc,0.449875
13,ntnt,rvlpfc,0.813
14,ntnt,rvlpfc,0.875375
15,ntnt,rvlpfc,0.640875
16,ntnt,rvlpfc,0.9911875
17,ntnt,rvlpfc,0.93025
18,ntnt,rvlpfc,0.8706875
19,ntnt,rvlpfc,0.7310625
20,ntnt,rvlpfc,0.887625
21,ntnt,rvlpfc,1
22,ntnt,rvlpfc,0.5903125
23,ntnt,rvlpfc,0.9910625
24,ntnt,rvlpfc,0.98075
1,ntnt,rHC,0.8633125
2,ntnt,rHC,0.5764375
